model,backbone,number_parameters,image_resolution,image_min_side,inference_time
RetinaNet,resnet152,71117037,240x320,240,0.4487363897989999
RetinaNet,resnet152,71117037,480x640,480,1.4120786609759999
RetinaNet,mobilenet224,13232621,240x320,240,0.166852683041001
RetinaNet,mobilenet224,13232621,480x640,480,0.5805500004509995
RetinaNet,mobilenet224,13232621,800x1066,800,1.5566200470500007
RetinaNet,densenet121,17233773,240x320,240,0.3160204567229994
RetinaNet,densenet121,17233773,480x640,480,1.0254346303930033
RetinaNet,densenet121,17233773,800x1066,800,2.7240515854099976
RetinaNet,resnet50,36382957,240x320,240,0.23323826640200013
RetinaNet,resnet50,36382957,480x640,480,0.7695649169110002
RetinaNet,resnet50,36382957,800x1066,800,2.006550180436
RetinaNet,vgg16,28717421,240x320,240,0.38263181925599976
RetinaNet,vgg16,28717421,480x640,480,1.450055944008
RetinaNet,EfficientNetB7,78303933,240x320,240,0.794384824253997
RetinaNet,EfficientNetB7,78303933,480x640,480,2.7442817052899993
RetinaNet,EfficientNetB3,22184021,240x320,240,0.3349091687679975
RetinaNet,EfficientNetB3,22184021,480x640,480,1.1453087595960023
