model,backbone,number_parameters,image_resolution,image_min_side,inference_time
RetinaNet,resnet50,36382957,240x320,240,0.31558312847000025
RetinaNet,resnet50,36382957,480x640,480,1.082030169832
RetinaNet,resnet50,36382957,800x1066,800,2.9319309465840004
RetinaNet,vgg19,28717421,240x320,240,0.649291648292
RetinaNet,vgg19,28717421,480x640,480,2.531777843662
RetinaNet,resnet152,71117037,240x320,240,0.559105858756
RetinaNet,resnet152,71117037,480x640,480,1.9176206829479998
RetinaNet,mobilenet224,13232621,240x320,240,0.21678536781799995
RetinaNet,mobilenet224,13232621,480x640,480,0.7806705388939991
RetinaNet,mobilenet224,13232621,800x1066,800,2.132426909992002
RetinaNet,densenet121,17233773,240x320,240,0.3630013346019987
RetinaNet,densenet121,17233773,480x640,480,1.257181731058001
RetinaNet,densenet121,17233773,800x1066,800,3.3847954566359983
RetinaNet,EfficientNetB7,78303933,240x320,240,0.794384824253997
RetinaNet,EfficientNetB7,78303933,480x640,480,2.7442817052899993
RetinaNet,vgg16,23407725,240x320,240,0.5257493915919986
RetinaNet,vgg16,23407725,480x640,480,2.0267474758440005
RetinaNet,EfficientNetB3,22184021,240x320,240,0.3349091687679975
RetinaNet,EfficientNetB3,22184021,480x640,480,1.1453087595960023
RetinaNet,EfficientNetB3,22184021,800x1066,800,3.1853162848139984
