model,backbone,number_parameters,image_resolution,image_min_side,inference_time
RetinaNet,densenet121,17233773,240x320,240,0.0555674290299994
RetinaNet,densenet121,17233773,480x640,480,0.05591376289399887
RetinaNet,densenet121,17233773,800x1066,800,0.09510449302799862
RetinaNet,resnet50,36382957,240x320,240,0.029428550990000076
RetinaNet,resnet50,36382957,480x640,480,0.041411187392999635
RetinaNet,resnet50,36382957,800x1066,800,0.07527048439499959
RetinaNet,resnet152,71117037,240x320,240,0.048604924608000144
RetinaNet,resnet152,71117037,480x640,480,0.06506961049200072
RetinaNet,resnet152,71117037,800x1066,800,0.11604198812300091
RetinaNet,mobilenet224,13232621,240x320,240,0.022695946546000413
RetinaNet,mobilenet224,13232621,480x640,480,0.029255937914000243
RetinaNet,mobilenet224,13232621,800x1066,800,0.051180687936999675
RetinaNet,EfficientNetB7,78303933,240x320,240,0.09311735406700018
RetinaNet,EfficientNetB7,78303933,480x640,480,0.12887935933900008
RetinaNet,EfficientNetB3,22184021,240x320,240,0.04259535274100017
RetinaNet,EfficientNetB3,22184021,480x640,480,0.058174319956000094
RetinaNet,EfficientNetB3,22184021,800x1066,800,0.1040817080310003
RetinaNet,vgg19,28717421,240x320,240,0.025346718557000712
RetinaNet,vgg19,28717421,480x640,480,0.044131944081000254
RetinaNet,vgg19,28717421,800x1066,800,0.10186915386199871
